,date,news
61,Feb-18-21 08:00AM,Reliance Global Group Announces Beta Launch of 5MinuteInsure.com
62,Feb-11-21 11:10AM,Reliance Global Group Announces Closing of $12.42 Million Underwritten Offering Including Full Exercise of the Underwriters Over-Allotment Option
63,Feb-08-21 04:37PM,"Reliance Global Group, Inc. Announces Nasdaq Listing and Pricing of $10.8 Million Public Offering"
64,Sep-23-20 11:50AM,Reliance Global Group Acquires Premier Regional Transportation Insurance Agency
65,Sep-09-20 09:35AM,Reliance Global Group Announces LOI to Acquire National Insurance Agency With Over 145 Affiliated Offices Across 40 States
66,Aug-14-20 09:35AM,Reliance Global Group Provides Business Update and Files Financial Statements for the Second Quarter of 2020
67,Aug-04-20 09:35AM,Reliance Global Group Appoints Renowned Insurance Industry Executive Sheldon Brickman to Board of Directors
68,Jul-27-20 08:00AM,Reliance Global Group Projects Approximate 70% Increase in Sales for the Second Quarter of 2020 Versus the Same Period Last Year
69,Jun-23-20 08:30AM,Reliance Global Group Announces Filing of Form 10; Now a Fully Reporting Company with the Securities & Exchange Commission
70,Jun-12-20 09:35AM,Reliance Global Group Reports Five-Fold Increase in Revenue to $2 Million for the First Quarter of 2020
71,Jun-04-20 10:50AM,Reliance Global Group Inc. Announces its Strategic Partner Nsure.com Has Been Licensed to Operate and Sell Insurance in California
72,May-18-20 07:30AM,Reliance Global Group Appoints David Lazar to Board of Directors
73,Apr-30-20 09:35AM,"Reliance Global Group Completes Audit of Altrius Benefit Consultants, Inc."
74,Apr-29-20 09:35AM,Reliance Global Group Partner Nsure.com Featured on Multiple News Broadcasts
